District Name,Comprehensive Value Score,Holistic Performance Score,Cost and Complexity Index,Total Students
Steubenville City,209.71219335899792,0.8787480938492851,0.10177743001049101,2845
Bloomfield-Mespo Local,202.20939125737925,0.5967939486095574,0.03807829774944191,208
Miller City-New Cleveland Local,194.35919349166463,0.9358584451264971,0.1455496808820775,523
Versailles Exempted Village,194.07163870418952,0.9548757624771219,0.153681492616375,1243
New Knoxville Local,191.61323923139696,0.8720436523329251,0.12610038383780003,386
Franklin Monroe Local,190.16222986704318,0.8588928707269529,0.12366702772957207,492
New Bremen Local,189.668841979305,0.9479820401274188,0.15984727767803322,809
Fort Loramie Local,189.37899649322975,0.9717482646317692,0.1706710827787176,654
Fort Recovery Local,188.6420394850093,0.8828184546165079,0.13541374290076919,972
Columbus Grove Local,188.103418969967,0.8813337968906007,0.13581939527298978,700
Dalton Local,187.09555711464446,0.8573925304415063,0.12835345621428398,879
Tri-Village Local,186.1247560749187,0.8410765318670284,0.12382557825937768,787
Bright Local,185.02044505857546,0.7719015951124425,0.1006145707709326,690
Columbiana Exempted Village,184.83117686193722,0.8288209440944616,0.1213968661797557,988
Antwerp Local,183.80629476863157,0.8521074026529741,0.1321976092662219,659
Ottoville Local,181.77664357705228,0.9116091380212047,0.16120192773503858,482
Seneca East Local,181.09680451113283,0.8320579994758001,0.12920776852769492,757
Ansonia Local,181.0727795269836,0.8036582773138501,0.1182201929986419,795
Marion Local,181.01032404740891,0.9853801169590644,0.1974716768267919,910
Spencerville Local,180.9841594675296,0.8302671740778588,0.12870249117881016,951
Arcanum-Butler Local,180.78880555337454,0.8317240485038417,0.1296380532295774,1098
Newton Local,180.50190109985385,0.879546427043218,0.149984409515408,572
Ada Exempted Village,179.91546198364807,0.7558122991740079,0.10245954197932472,842
Springfield Local,179.8423008952312,0.7997700084879434,0.11882242035709605,882
Danbury Local,178.8451554907644,0.8084869609661011,0.12394606684857744,522
Parkway Local,178.22853221419007,0.7919486875743217,0.1185731374816449,969
West Liberty-Salem Local,177.9249058785136,0.8674761089716162,0.15019640975583304,1132
Continental Local,177.81746846534702,0.8312785266010557,0.1350487526524076,464
Minster Local,177.1445866288779,0.9435336732753293,0.18717284993624214,864
Crestview Local,177.04882464208083,0.8659145747159226,0.1513850849746986,931
Bloom-Vernon Local,176.57589870058987,0.7916891635214004,0.12135211073000211,793
Mississinawa Valley Local,175.27049786867917,0.7198817412109313,0.09655073080172098,596
Chippewa Local,175.24273469487127,0.8719080651152668,0.15804048477499236,1188
Russia Local,175.2012897064526,0.9332507250511103,0.18720629987663043,404
Georgetown Exempted Village,174.74600997501162,0.7592147579973142,0.11186856104220207,934
Kalida Local,174.49756375813973,0.9330382613036657,0.1889639843198019,599
Edgerton Local,174.44767259267417,0.7970515845260834,0.12737767892596222,489
Hicksville Exempted Village School District,174.36783638151823,0.802853622272245,0.12991466042125419,863
Norwayne Local,173.47819095285416,0.8122184715398668,0.13556851541505094,1265
Arcadia Local,173.18201551166587,0.8297541363571531,0.14373392871385512,564
Hillsboro City,173.08594204815742,0.7473166155733423,0.11006498594862048,2193
Arlington Local,172.962247874352,0.8132936065395145,0.13705879206709815,588
St Henry Consolidated Local,172.8976669779355,0.9186614916072128,0.18604772316713644,1014
Lynchburg-Clay Local,172.71270431331857,0.765528377166382,0.1178123408694441,1002
Ottawa-Glandorf Local,172.65854762548415,0.8383144694786245,0.14863580280380181,1394
Liberty Center Local,172.31857811407144,0.8657159331707128,0.1619198737959968,996
Northmor Local,171.74136185161103,0.7929429349118053,0.1308323941737464,1008
Cedar Cliff Local,171.53611369256058,0.8143022316610523,0.1404089587051255,544
Cardinal Local,171.39136521270973,0.6349483154018459,0.073152355935461,723
West Branch Local,170.79378588616322,0.7685033199885947,0.12247183809443903,1730
Danville Local,170.78681481981894,0.7310813320939483,0.10762770196756792,584
Wayne Trace Local,170.2759849428625,0.7990104018721963,0.1363413740124468,857
Chesapeake Union Exempted Village,169.85219713552283,0.7215870785608854,0.10551605481990141,1111
South Central Local,169.84667852402308,0.7365442292288834,0.11132393639743361,725
Coldwater Exempted Village,169.67018303022095,0.8559664445080165,0.1636108909387279,1391
Northwest Local,169.4978595057573,0.8783795873717398,0.17491180762601588,1642
McComb Local,168.85674829465452,0.7458935348324212,0.11678045360549731,588
Jackson Center Local,168.76029265850616,0.8589272873370851,0.16725065734414749,505
Leipsic Local,168.7472779256912,0.7945657683615751,0.1375381661680381,631
Carey Exempted Village Schools,168.67653808786812,0.7628800575286455,0.1240969425297442,833
Bluffton Exempted Village,168.55736372058504,0.8761943451804927,0.1762485619577464,1134
Maplewood Local,168.40985678720898,0.8274622350834363,0.15314571510585984,601
East Holmes Local,168.10091585835383,0.7478786918075184,0.11895507323872895,1472
Fairfield Local,168.0109702186255,0.7627934036006282,0.12532594475989237,874
Leetonia Exempted Village School District,167.9484091692164,0.7495492295326014,0.11992182576787508,487
Crestview Local,167.8594555399615,0.7592891849163509,0.12414084081207306,1111
South Range Local,167.72396647105225,0.8776683584638144,0.1791671630579393,1214
Holgate Local,167.34891801054223,0.8109117220558172,0.14788906151005726,391
Fairlawn Local,166.7951809413265,0.8211547988665862,0.15390969681850622,511
Ayersville Local,166.70555171952307,0.8345370434346461,0.1604847102644481,648
Pandora-Gilboa Local,166.67614714315468,0.7767222017835458,0.13396098736028664,507
Goshen Local,166.14000779561636,0.7830213042731042,0.13786523095616202,2680
Millcreek-West Unity Local,165.67578848977217,0.7361331239362293,0.11855728512945927,504
Botkins Local,165.32521115013736,0.8172842244798376,0.155511466030093,606
Hardin Northern Local,164.96664970591505,0.7554612093447113,0.12812665628916536,365
Lincolnview Local,164.67490910462828,0.7953990737474594,0.1466979603867632,809
