District Name,County,Region,Progress Component Star Rating,Overall Composite,Overall Effect Size,Graduation Rate Component Rating,Graduation Rate Component Percent (Weighted Graduation Rate),Four Year Graduation Rate - Class of 2023,Four Year Graduation Rate - Statewide Average - Class of 2023,Five Year Graduation Rate - Class of 2022,Five Year Graduation Rate - Statewide Average - Class of 2022,Total Students,Total Attendance Percent,American Indian or Alaskan Native,Asian or Pacific Islander,"Black, Non-Hispanic",Economic Disadvantage,English Learner,Hispanic,Migrant,Multiracial,Students with Disabilities,"White, Non-Hispanic",Achievement Component Star Rating,Performance Index Percent 2023-2024,Performance Index Score 2023-2024,Percent of Students Not Tested,Percent of Students Limited,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accomplished,Percent of Students Advanced,Percent of Students Advanced Plus,Performance Index Score 2022-2023,Performance Index Score 2021-2022,Expenditures per Equivalent Pupil,Expenditures per Equivalent Pupil - Federal Funds,Expenditures per Equivalent Pupil - State and Local Funds,NUMBER OF RETURNS,AVERAGE FEDERAL ADJUSTED GROSS INCOME,MEDIAN FEDERAL ADJUSTED GROSS INCOME,AVERAGE OHIO ADJUSTED GROSS INCOME,MEDIAN OHIO ADJUSTED GROSS INCOME,Real Property Taxable Value (a),Effective Property Tax Rate,Effective Income Tax Rate,Total Local Tax Burden,Per Capita Income Tax Liability,Student to Taxpayer Ratio,Federal Funding Percentage,State and Local Funding Percentage,Percent of Economically Disadvantaged Students,Percent of Students with Disabilities,Percent of American Indian or Alaskan Native,Percent of Asian or Pacific Islander,"Percent of Black, Non-Hispanic",Percent of English Learner,Percent of Hispanic,Percent of Migrant,Percent of Multiracial,"Percent of White, Non-Hispanic",PC1_Academic_Wealth,PC2_Scale_Demographics,PC3_Tax_Funding,Cluster,Cluster_Tier
Manchester Local,Adams,Region 14,3,-0.83,-0.01,4,93.6,91.8,87.9,96.2,89.1,662,92.3,0,0,0,659,0,0,0,0,151,643,3,74.0,80.8,0.3,20.2,21.7,29.3,17.5,10.8,0.2,82.1,77.4,11833.0,1585.0,10248.0,1682,49637.43697978597,38260.5,44727.47859690844,34509.5,77475990,2.046772167738676,1.912559485977543,2.2254463803120106,788.6634958382878,0.3935790725326992,13.3947435139018,86.6052564860982,99.54682779456193,22.80966767371601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1299093655589,-2.1660317929220967,-3.6467703936377087,-1.425858882076911,3,Tier 2
Akron City,Summit,Region 8,2,-11.31,-0.04,2,88.1,87.7,87.9,88.8,89.1,19744,86.6,14,1852,9290,19744,2132,1448,0,2054,4245,5087,2,58.0,63.4,0.9,43.0,20.2,18.5,10.4,6.9,0.0,61.2,58.7,15023.0,2397.0,12626.0,78825,48925.93679670156,34719.0,44483.74633682207,32347.0,3280771270,4.690113187927301,2.007644539317584,4.924262507452575,827.6771836346337,0.25047890897557884,15.955534846568595,84.0444651534314,100.0,21.500202593192867,0.07090761750405186,9.380064829821718,47.052269043760134,10.798217179902755,7.33387358184765,0.0,10.403160453808752,25.764789303079418,-13.139582595753328,11.362071867991505,-1.4194331538414378,2,Tier 4
Alliance City,Stark,Region 9,2,-4.7,-0.04,3,91.9,94.2,87.9,88.5,89.1,2862,89.8,0,0,301,2862,0,121,0,486,584,1937,2,66.5,72.6,1.2,31.3,20.1,22.6,12.9,10.6,1.3,72.8,72.6,11772.0,2117.0,9656.0,8870,48393.25636978579,34307.0,43430.24408117249,31805.5,387053850,2.4899990014309377,1.9306767807084755,2.7166562806468715,772.5569334836528,0.3226606538895152,17.983350322799865,82.02514441046551,100.0,20.405310971348708,0.0,0.0,10.517120894479385,0.0,4.227812718378756,0.0,16.9811320754717,67.67994409503844,-6.001189813430803,-1.6623502391513794,0.6336627683268234,0,Tier 3
Ashland City,Ashland,Region 7,2,-8.37,-0.08,5,96.7,97.7,87.9,95.3,89.1,2976,93.7,0,23,28,1236,35,84,0,134,393,2704,4,84.3,92.1,0.2,13.8,13.9,25.3,20.6,24.0,2.1,92.7,92.0,10785.0,1005.0,9780.0,12389,64500.82863830818,42747.0,55438.52748405844,37883.0,703332410,2.6790549862475412,2.2649791548200335,3.1937809339147276,1182.8279118572927,0.24021309225926224,9.318497913769123,90.68150208623088,41.53225806451613,13.205645161290322,0.0,0.7728494623655914,0.9408602150537635,1.1760752688172043,2.82258064516129,0.0,4.502688172043011,90.86021505376344,1.2426568134267753,-0.4322766886788358,-1.4603955259252264,3,Tier 2
Ashtabula Area City,Ashtabula,Region 5,2,-9.22,-0.09,1,83.3,83.9,87.9,82.4,89.1,2791,87.9,0,11,185,2791,202,613,0,437,694,1542,2,58.2,63.6,1.1,41.3,21.6,19.6,10.4,5.4,0.6,66.3,64.2,11044.0,1429.0,9615.0,11892,53375.59544231416,36465.0,47240.977463841235,32446.0,533214320,2.373608608260933,2.054448968137947,2.591703812340878,901.7042549613185,0.23469559367642112,12.93915248098515,87.06084751901486,100.0,24.865639555714797,0.0,0.39412396990326043,6.628448584736654,7.237549265496238,21.963453959154425,0.0,15.657470440702257,55.249014690075235,-8.650992743038778,-0.8457940041136378,1.5473522444742234,0,Tier 3
Athens City School District,Athens,Region 16,5,11.57,0.13,3,90.2,87.6,87.9,94.0,89.1,2288,91.1,0,83,75,1077,59,70,0,134,540,1924,3,78.9,86.2,1.6,19.8,14.2,20.6,19.0,20.6,4.3,86.6,81.9,12580.0,745.0,11836.0,10628,62446.132197967636,37617.0,55068.433665788485,33590.0,703651230,2.6812781951649542,2.227784012523492,2.960424212296741,1166.623917952578,0.2152803914188935,5.922098569157392,94.08585055643879,47.07167832167832,23.6013986013986,0.0,3.6276223776223775,3.277972027972028,2.5786713286713288,3.0594405594405596,0.0,5.856643356643357,84.0909090909091,-1.105770714564889,0.5551547668587243,1.1469250840832765,3,Tier 2
Barberton City,Summit,Region 8,2,-3.11,-0.02,2,84.7,83.8,87.9,86.0,89.1,3447,89.8,0,25,570,2648,49,151,0,382,637,2312,2,69.0,75.3,1.4,28.3,19.1,22.5,16.2,12.0,0.5,78.1,77.1,12722.0,1225.0,11497.0,11747,47903.24644590108,37120.0,42977.941346726824,34355.0,515214600,3.4459733866237485,1.9477888103050824,3.5515106877298255,782.2560653783945,0.293436622116285,9.628989152648955,90.37101084735104,76.820423556716,18.47983753988976,0.0,0.725268349289237,16.536118363794607,1.4215259646069047,4.3806208297069915,0.0,11.082100377139541,67.07281694226864,-5.333357338228806,-0.42029336099911135,1.375574128821351,0,Tier 3
Bay Village City,Cuyahoga,Region 3,4,2.75,0.03,5,97.5,96.9,87.9,98.5,89.1,2364,94.8,0,26,13,241,17,111,0,92,278,2122,5,97.1,106.1,0.1,3.1,6.8,21.4,28.5,37.7,2.4,106.6,104.9,14991.0,556.0,14435.0,8050,164065.69267080745,86265.5,145101.06770186336,70798.5,920300310,3.9781825130538095,2.932617124376965,4.116158247427712,4173.295403726708,0.29366459627329194,3.708892001867788,96.2911079981322,10.194585448392555,11.759729272419628,0.0,1.0998307952622675,0.5499153976311337,0.7191201353637902,4.695431472081219,0.0,3.8917089678511,89.76311336717428,7.461314621753852,4.109766625972558,2.7805084915875087,1,Tier 1
Beachwood City,Cuyahoga,Region 3,5,7.8,0.12,5,97.8,96.8,87.9,99.3,89.1,1483,93.6,0,305,341,342,81,78,0,119,240,633,5,96.1,105.0,0.1,6.4,8.4,16.4,18.8,38.5,11.3,106.3,104.7,20194.0,332.0,19862.0,6324,175438.01802656546,87672.0,152003.95287792536,68991.5,1031175660,3.524279461755333,2.8529341868871763,3.6133754139096306,4279.442283364959,0.23450347881087918,1.6440526889175002,98.3559473110825,23.06136210384356,16.183412002697235,0.0,20.5664194200944,22.99393122049899,5.461901550910317,5.259608900876602,0.0,8.024275118004045,42.68374915711396,7.004540120172766,6.911346221685466,7.2364871915161455,1,Tier 1
Bedford City,Cuyahoga,Region 3,4,6.06,0.07,2,86.2,83.4,87.9,90.3,89.1,2740,89.5,0,10,2171,2192,111,187,0,187,638,182,2,58.1,63.5,3.2,38.6,21.8,20.0,9.9,5.2,1.3,63.5,62.7,17409.0,2115.0,15294.0,14017,50703.53749019048,39977.0,46010.70521509596,36846.0,915318950,3.4179425652664577,2.0206596838132094,3.855239161656629,869.0091317685667,0.1954769208817864,12.1488885059452,87.8511114940548,80.0,23.284671532846716,0.0,0.36496350364963503,79.23357664233576,4.051094890510949,6.8248175182481745,0.0,6.8248175182481745,6.642335766423358,-8.432784495302558,0.7568485313356188,5.590374488218372,0,Tier 3
