District Name,County,Affordability & Value Score,Performance Index Score 2023-2024,Median Home Value,MEDIAN OHIO ADJUSTED GROSS INCOME,Total Local Tax Burden,Total Students
New Bremen Local,Auglaize,240.11212262290007,108.0,232508.21593153392,50926.0,2.143179119329199,809
Kalida Local,Putnam,232.16258035639999,105.4,236275.55151615303,55703.0,2.2911758592073017,599
Fort Loramie Local,Shelby,229.97050958713245,109.2,246087.30005515722,50570.0,2.340309629307549,654
Miller City-New Cleveland Local,Putnam,227.29430887293756,108.2,252114.54183266935,49685.0,2.043393847680763,523
Steubenville City,Jefferson,223.93910250198536,104.0,101746.75053453335,30968.0,2.327129286725027,2845
Versailles Exempted Village,Darke,221.26562378740945,109.5,241494.08432976715,47382.0,2.228494286213632,1243
Ottoville Local,Putnam,212.73938607616603,103.1,235519.79695431472,50191.0,2.2445419380607348,482
Newton Local,Miami,210.55706771074148,100.3,184189.08086925544,46054.0,2.330649278622016,572
Bloom-Vernon Local,Scioto,208.7331659017317,94.4,117468.02490096209,39769.5,2.2831244347834603,793
Marion Local,Mercer,207.5737959337498,111.5,296281.01761252445,52541.5,2.5799977328996166,910
Minster Local,Auglaize,206.57996868421114,107.8,292267.170640305,54433.0,2.3159803786913615,864
Russia Local,Shelby,204.31134047103984,105.3,260047.27272727274,52731.0,2.47316514266774,404
Columbus Grove Local,Putnam,203.6751592210496,99.0,195534.44640720272,43837.0,2.249135493826398,700
New Knoxville Local,Auglaize,201.5177203768465,103.6,217848.92103676914,44893.5,2.075047017230381,386
West Liberty-Salem Local,Champaign,199.7097298767444,99.1,196313.77257799674,46099.0,2.2701758091584656,1132
Antwerp Local,Paulding,198.98728455160287,96.7,149135.9975501455,40255.0,2.4254899414503384,659
Ottawa-Glandorf Local,Putnam,196.5803508174464,97.7,199461.712568239,47517.0,2.129999662920583,1394
Miami East Local,Miami,192.37011655380735,99.4,224775.2120640905,52076.0,2.2907621558876547,1290
St Henry Consolidated Local,Mercer,191.04853233164386,105.5,270704.7991071429,51576.0,2.462563313897674,1014
Arlington Local,Hancock,189.04206809437616,95.7,203137.00176366844,47138.0,2.0722376794193003,588
Arcanum-Butler Local,Darke,185.98587367462153,95.9,179657.76710684274,42054.0,2.227626646400076,1098
Fort Recovery Local,Mercer,183.94154166802304,102.4,278647.8304742684,47004.0,2.0149828189241927,972
Carey Exempted Village Schools,Wyandot,183.66502256804623,86.4,140950.0877770463,41575.0,2.205553433627171,833
Liberty-Benton Local,Hancock,183.61612700469635,99.1,225282.53687315635,52232.0,2.5956636099816377,1505
Chippewa Local,Wayne,183.26569527217185,101.4,195206.76507157207,43873.0,2.518269890247906,1188
Grandview Heights Schools,Franklin,180.33220080345868,105.5,263437.79463004717,69696.0,3.349481266962357,1123
Coldwater Exempted Village,Mercer,180.18583296908778,100.0,225636.08931804466,47876.0,2.326366565784007,1391
Valley Local,Scioto,178.26279713123714,88.2,126569.34257452394,41220.0,2.343492656334303,970
Anna Local,Shelby,178.15381959959836,100.9,251876.65429808287,51417.0,2.3960591815036008,1070
Franklin Monroe Local,Darke,177.9268560855849,95.8,217590.22510291674,41568.5,2.236675241828302,492
Bluffton Exempted Village,Allen,177.8408763926561,100.2,216848.91745602165,46803.0,2.6060268123862547,1134
Northwest Local,Stark,177.4342468928435,99.1,205954.68170351684,45121.5,2.6369261069164134,1642
Wyoming City,Hamilton,177.17707544580063,105.9,327589.5369156837,82462.0,3.1445831450504858,1884
Continental Local,Putnam,176.9584026838854,93.2,190716.08133086876,42691.0,2.335397809343717,464
Anthony Wayne Local,Lucas,176.08256871459278,103.4,284642.56049775175,59500.5,2.586787164851993,3885
Hicksville Exempted Village School District,Defiance,175.5318282279418,101.4,160833.80092021098,40793.0,2.336281798166063,863
Columbiana Exempted Village,Columbiana,175.15972663950956,99.0,185191.5219145875,39932.0,2.2524289397574155,988
Liberty Center Local,Henry,174.7044461604136,100.1,198832.84497805045,43561.0,2.615295790347957,996
West Geauga Local,Geauga,174.00103210105664,108.2,303481.1114477605,54094.0,2.393727541298497,2014
Chesapeake Union Exempted Village,Lawrence,173.91369879697032,83.6,126905.44239194256,38242.5,2.113314255475171,1111
Jackson Center Local,Shelby,173.71043165235608,100.7,237785.84376348727,48232.0,2.4532575262737675,505
Ross Local,Butler,173.22320916818887,96.3,219721.7978100331,50033.0,2.333428749960511,2362
Highland Local,Medina,171.69417223420328,105.1,354962.3510234622,64139.0,2.6785454877175208,3344
Mechanicsburg Exempted Village,Champaign,171.55074288632818,92.8,174214.17102077228,44426.0,2.382522252066652,807
Ayersville Local,Defiance,171.46100313953247,97.5,188425.41537060923,44667.5,2.562664585126553,648
Bethel Local,Miami,170.32649933123903,89.7,115191.81823300861,50237.0,2.5934148957107266,1907
Botkins Local,Shelby,169.85379828059112,100.3,215698.26254826254,47456.0,2.319656441185029,606
Tri-Village Local,Darke,169.55053323517438,100.4,203735.93339176162,40031.0,2.303467701993995,787
Canfield Local,Mahoning,168.67147672263474,104.2,259052.21122931933,52157.5,2.7471769804229424,2433
Spencerville Local,Allen,168.41402983358782,96.6,217297.97938144332,42403.0,2.208017381061148,951
McDonald Local,Trumbull,168.026465281939,96.8,116843.64994663821,39788.0,2.9579354939018505,692
Wheelersburg Local,Scioto,167.9933860044785,92.2,145596.5958445827,41728.0,2.3474019194612166,1518
Dalton Local,Wayne,166.46091877984375,99.0,230758.1480163672,40861.0,2.3074927659226767,879
Ada Exempted Village,Hardin,166.106515868812,90.8,134699.42857142858,35940.5,2.2423312159292323,842
Crestview Local,Van Wert,165.83216402418765,98.0,241861.107500325,43726.0,2.4582324800245194,931
Northwest Local,Scioto,164.81892950408746,85.1,113308.02590819488,37491.5,2.19271821171609,1160
Eastwood Local,Wood,163.98905175450096,98.6,208706.46327033165,46110.5,2.506221555338649,1363
Rocky River City,Cuyahoga,163.38417751220703,110.2,336163.27765225875,59056.0,3.4267843428418177,2590
Norton City,Summit,163.26310347397273,93.8,180951.76740059018,46680.0,2.347761900040312,2122
Springfield Local,Mahoning,162.90615586212647,95.8,179227.20394280163,39052.0,2.281571227790188,882
Seneca East Local,Seneca,162.87968888879024,95.8,221867.80485047208,41661.0,2.282995749248819,757
Symmes Valley Local,Lawrence,162.32248437411948,81.7,132796.17718996285,41001.5,2.2676640862265947,729
Dawson-Bryant Local,Lawrence,161.78461124340714,83.8,107505.47853172907,35986.0,2.2519380199279264,1141
Goshen Local,Clermont,161.2197907979841,91.8,176722.62941345325,41463.0,2.2131894519310427,2680
Revere Local,Summit,160.9471674296033,104.6,396377.9548472776,72192.0,3.0354119542048807,2849
Granville Exempted Village,Licking,160.71380837729455,105.6,373201.39863489405,74760.0,3.165809953262153,2468
Norwayne Local,Wayne,160.1848554989216,98.9,196285.7585481908,41110.0,2.3553054095943176,1265
Mohawk Local,Wyandot,158.56897382537008,95.7,185924.8775510204,43136.0,2.7544805752163306,823
Van Buren Local,Hancock,158.52654838279153,96.3,290471.6615573268,52698.5,2.5761927038917753,1016
